"dir_parent","dir_file","dir_id","dir_url"
"on","ottawa-cases-deaths-hosp-demographics-source-of-infection","1e-u-utGtP-NDBAigdrW36sDeWSCwz5Ji","https://drive.google.com/drive/folders/1e-u-utGtP-NDBAigdrW36sDeWSCwz5Ji"
"on","ottawa-community-outbreaks","13j5pzMJAigvkgxMsxvx1lKfH_rEC2G84","https://drive.google.com/drive/folders/13j5pzMJAigvkgxMsxvx1lKfH_rEC2G84"
"on","ottawa-estimated-rt","1PM3nvFv3a1zZ6755aT2jpyvpjFjnaqUb","https://drive.google.com/drive/folders/1PM3nvFv3a1zZ6755aT2jpyvpjFjnaqUb"
"on","ottawa-hospitalization","1v_5gCnHxRRzKZ8cdmWEnCFkLotY3K-7R","https://drive.google.com/drive/folders/1v_5gCnHxRRzKZ8cdmWEnCFkLotY3K-7R"
"on","ottawa-outbreaks-healthcare-childcare-camps-schools","1wZ27q90_Uom6QCP0UMr6wGSlzQc_sAOo","https://drive.google.com/drive/folders/1wZ27q90_Uom6QCP0UMr6wGSlzQc_sAOo"
"on","ottawa-outbreaks-in-healthcare-institutions","16rbTbd5EcwENtGNf9RgnQbojzf4he_0D","https://drive.google.com/drive/folders/16rbTbd5EcwENtGNf9RgnQbojzf4he_0D"
"on","ottawa-residents-tested","1E3udpKQCqEaOh4aCt1zk7cUb8uZoasqg","https://drive.google.com/drive/folders/1E3udpKQCqEaOh4aCt1zk7cUb8uZoasqg"
"on","ottawa-weekly-rates","1dovKNHy8EgGajqIqP-tn3j9v2GpdlHUn","https://drive.google.com/drive/folders/1dovKNHy8EgGajqIqP-tn3j9v2GpdlHUn"
"on","percent-positive-by-age-group","1YGexaicLvEsasdhurYbjl_vKytmqF0hI","https://drive.google.com/drive/folders/1YGexaicLvEsasdhurYbjl_vKytmqF0hI"
"on","school-board-partners","1LRJ8z_a1N99O4sscNBXBY84yjHDoYLy9","https://drive.google.com/drive/folders/1LRJ8z_a1N99O4sscNBXBY84yjHDoYLy9"
"on","schools-active","1NhQmGYR0l4Don6YGJiU5s_X6e7b2zVfQ","https://drive.google.com/drive/folders/1NhQmGYR0l4Don6YGJiU5s_X6e7b2zVfQ"
"on","schools-summary","1PNTdW1MWrj3Xjrhu8lQbqn3gtzkluepz","https://drive.google.com/drive/folders/1PNTdW1MWrj3Xjrhu8lQbqn3gtzkluepz"
"on","status-of-cases","1cbQvjhQkgHmk1BU6XrGFFuGXPUeNwVXX","https://drive.google.com/drive/folders/1cbQvjhQkgHmk1BU6XrGFFuGXPUeNwVXX"
"on","status-of-cases-by-phu","179ZsgcnrOIRTh2a04qlhH3HUafxrWWr3","https://drive.google.com/drive/folders/179ZsgcnrOIRTh2a04qlhH3HUafxrWWr3"
"on","summary-outbreak-cases","1X0vnDtDQkrbFJHcCV4nmhaPvqDligqcL","https://drive.google.com/drive/folders/1X0vnDtDQkrbFJHcCV4nmhaPvqDligqcL"
"on","testing-locations","1ugIMV9FyvRd2cgy_cctgMCaLUcccshLh","https://drive.google.com/drive/folders/1ugIMV9FyvRd2cgy_cctgMCaLUcccshLh"
"on","testing-metrics-by-phu","1W4mbKlbokc3Ebvpg6H96c-BZDCflWsyO","https://drive.google.com/drive/folders/1W4mbKlbokc3Ebvpg6H96c-BZDCflWsyO"
"on","toronto-active-outbreaks","1Hhnpqrh8AnfIhH80Ss0kY1WWkkxuLeh0","https://drive.google.com/drive/folders/1Hhnpqrh8AnfIhH80Ss0kY1WWkkxuLeh0"
"on","toronto-cases","1npUc4yyVR865IAX1DuqPosc-TjpO14M3","https://drive.google.com/drive/folders/1npUc4yyVR865IAX1DuqPosc-TjpO14M3"
"on","toronto-covid-summary","1iZPRXgEoKslYNQpY_nbo_NmP2LYThFkA","https://drive.google.com/drive/folders/1iZPRXgEoKslYNQpY_nbo_NmP2LYThFkA"
"on","toronto-daily-status","1ie-DHoYsbMcWRBrBZRqsbV50BIon0MU_","https://drive.google.com/drive/folders/1ie-DHoYsbMcWRBrBZRqsbV50BIon0MU_"
"on","toronto-ethno-racial-income","1Q4esWyxm6SstZGQr-kR_32bpichsICYo","https://drive.google.com/drive/folders/1Q4esWyxm6SstZGQr-kR_32bpichsICYo"
"on","toronto-monitoring-dashboard","1fHmGdLjTGoQXVuyGnTfMZ1UbMrQrnQ6P","https://drive.google.com/drive/folders/1fHmGdLjTGoQXVuyGnTfMZ1UbMrQrnQ6P"
"on","toronto-neighbourhood-data","1c7xVzZIwOx2M1dN9XvKYEf_Di51tQyD9","https://drive.google.com/drive/folders/1c7xVzZIwOx2M1dN9XvKYEf_Di51tQyD9"
"on","toronto-neighbourhood-test-data","16cwwF0IAiXpB2cbXNA7A9hCuaG8DF3bR","https://drive.google.com/drive/folders/16cwwF0IAiXpB2cbXNA7A9hCuaG8DF3bR"
