date,outbreak_group,outbreak_subgroup,number_ongoing_outbreaks
11/10/2020,5 Recreational,19 Recreational fitness,10
11/10/2020,5 Recreational,20 Personal service settings,2
11/10/2020,5 Recreational,21 Other recreation,15
11/10/2020,6 Other/Unknown,23 Other,12
11/10/2020,6 Other/Unknown,24 Unknown,1
11/11/2020,1 Congregate Care,1 Long-Term Care Homes,92
11/11/2020,1 Congregate Care,2 Hospitals,21
11/11/2020,1 Congregate Care,3 Retirement Homes,56
11/11/2020,2 Congregate Living,18 Short-term accommodations,2
11/11/2020,2 Congregate Living,22 Congregate other,8
11/11/2020,2 Congregate Living,4 Group Home/Supportive Housing,33
11/11/2020,2 Congregate Living,5 Correctional Facility,2
11/11/2020,2 Congregate Living,6 Shelter,12
11/11/2020,3 Education,10 School - Post-Secondary,2
11/11/2020,3 Education,11 Child care,53
11/11/2020,3 Education,7 School - Elementary,50
11/11/2020,3 Education,8 School - Secondary,12
11/11/2020,3 Education,9 School - Elementary/Secondary,4
11/11/2020,4 Workplace,12 Workplace - Farm,4
11/11/2020,4 Workplace,13 Workplace - Food Processing,11
11/11/2020,4 Workplace,14 Workplace - Other,133
11/11/2020,4 Workplace,15 Retail,4
11/11/2020,4 Workplace,16 Medical/Health Service,6
11/11/2020,5 Recreational,17 Bar/restaurant/nightclub,16
11/11/2020,5 Recreational,19 Recreational fitness,11
11/11/2020,5 Recreational,20 Personal service settings,3
11/11/2020,5 Recreational,21 Other recreation,17
11/11/2020,6 Other/Unknown,23 Other,3
11/11/2020,6 Other/Unknown,24 Unknown,1
11/12/2020,1 Congregate Care,1 Long-Term Care Homes,93
11/12/2020,1 Congregate Care,2 Hospitals,23
11/12/2020,1 Congregate Care,3 Retirement Homes,53
11/12/2020,2 Congregate Living,18 Short-term accommodations,2
11/12/2020,2 Congregate Living,22 Congregate other,8
11/12/2020,2 Congregate Living,4 Group Home/Supportive Housing,32
11/12/2020,2 Congregate Living,5 Correctional Facility,2
11/12/2020,2 Congregate Living,6 Shelter,13
11/12/2020,3 Education,10 School - Post-Secondary,1
11/12/2020,3 Education,11 Child care,51
11/12/2020,3 Education,7 School - Elementary,55
11/12/2020,3 Education,8 School - Secondary,12
11/12/2020,3 Education,9 School - Elementary/Secondary,3
11/12/2020,4 Workplace,12 Workplace - Farm,4
11/12/2020,4 Workplace,13 Workplace - Food Processing,11
11/12/2020,4 Workplace,14 Workplace - Other,136
11/12/2020,4 Workplace,15 Retail,4
11/12/2020,4 Workplace,16 Medical/Health Service,6
11/12/2020,5 Recreational,17 Bar/restaurant/nightclub,17
11/12/2020,5 Recreational,19 Recreational fitness,10
11/12/2020,5 Recreational,20 Personal service settings,1
11/12/2020,5 Recreational,21 Other recreation,16
11/12/2020,6 Other/Unknown,23 Other,6
11/12/2020,6 Other/Unknown,24 Unknown,1
11/13/2020,1 Congregate Care,1 Long-Term Care Homes,95
11/13/2020,1 Congregate Care,2 Hospitals,23
11/13/2020,1 Congregate Care,3 Retirement Homes,55
11/13/2020,2 Congregate Living,18 Short-term accommodations,2
11/13/2020,2 Congregate Living,22 Congregate other,8
11/13/2020,2 Congregate Living,4 Group Home/Supportive Housing,28
11/13/2020,2 Congregate Living,5 Correctional Facility,2
11/13/2020,2 Congregate Living,6 Shelter,13
11/13/2020,3 Education,10 School - Post-Secondary,1
11/13/2020,3 Education,11 Child care,51
11/13/2020,3 Education,7 School - Elementary,59
11/13/2020,3 Education,8 School - Secondary,13
11/13/2020,3 Education,9 School - Elementary/Secondary,4
11/13/2020,4 Workplace,12 Workplace - Farm,4
11/13/2020,4 Workplace,13 Workplace - Food Processing,9
11/13/2020,4 Workplace,14 Workplace - Other,134
11/13/2020,4 Workplace,15 Retail,3
11/13/2020,4 Workplace,16 Medical/Health Service,5
11/13/2020,5 Recreational,17 Bar/restaurant/nightclub,17
11/13/2020,5 Recreational,19 Recreational fitness,10
11/13/2020,5 Recreational,20 Personal service settings,1
11/13/2020,5 Recreational,21 Other recreation,18
11/13/2020,6 Other/Unknown,23 Other,11
11/13/2020,6 Other/Unknown,24 Unknown,2
11/14/2020,1 Congregate Care,1 Long-Term Care Homes,97
11/14/2020,1 Congregate Care,2 Hospitals,24
11/14/2020,1 Congregate Care,3 Retirement Homes,56
11/14/2020,2 Congregate Living,18 Short-term accommodations,2
11/14/2020,2 Congregate Living,22 Congregate other,7
11/14/2020,2 Congregate Living,4 Group Home/Supportive Housing,29
11/14/2020,2 Congregate Living,5 Correctional Facility,2
11/14/2020,2 Congregate Living,6 Shelter,13
11/14/2020,3 Education,10 School - Post-Secondary,2
11/14/2020,3 Education,11 Child care,48
11/14/2020,3 Education,7 School - Elementary,62
11/14/2020,3 Education,8 School - Secondary,18
11/14/2020,3 Education,9 School - Elementary/Secondary,4
11/14/2020,4 Workplace,12 Workplace - Farm,4
11/14/2020,4 Workplace,13 Workplace - Food Processing,9
11/14/2020,4 Workplace,14 Workplace - Other,139
11/14/2020,4 Workplace,15 Retail,4
11/14/2020,4 Workplace,16 Medical/Health Service,3
11/14/2020,5 Recreational,17 Bar/restaurant/nightclub,17
11/14/2020,5 Recreational,19 Recreational fitness,11
11/14/2020,5 Recreational,20 Personal service settings,1
11/14/2020,5 Recreational,21 Other recreation,18
11/14/2020,6 Other/Unknown,23 Other,18
11/14/2020,6 Other/Unknown,24 Unknown,2
11/15/2020,1 Congregate Care,1 Long-Term Care Homes,96
11/15/2020,1 Congregate Care,2 Hospitals,26
11/15/2020,1 Congregate Care,3 Retirement Homes,58
11/15/2020,2 Congregate Living,18 Short-term accommodations,2
11/15/2020,2 Congregate Living,22 Congregate other,7
11/15/2020,2 Congregate Living,4 Group Home/Supportive Housing,28
11/15/2020,2 Congregate Living,5 Correctional Facility,2
11/15/2020,2 Congregate Living,6 Shelter,13
11/15/2020,3 Education,10 School - Post-Secondary,2
11/15/2020,3 Education,11 Child care,49
11/15/2020,3 Education,7 School - Elementary,65
11/15/2020,3 Education,8 School - Secondary,19
11/15/2020,3 Education,9 School - Elementary/Secondary,4
11/15/2020,4 Workplace,12 Workplace - Farm,4
11/15/2020,4 Workplace,13 Workplace - Food Processing,9
11/15/2020,4 Workplace,14 Workplace - Other,144
11/15/2020,4 Workplace,15 Retail,5
11/15/2020,4 Workplace,16 Medical/Health Service,3
11/15/2020,5 Recreational,17 Bar/restaurant/nightclub,18
11/15/2020,5 Recreational,19 Recreational fitness,11
11/15/2020,5 Recreational,20 Personal service settings,1
11/15/2020,5 Recreational,21 Other recreation,18
11/15/2020,6 Other/Unknown,23 Other,19
11/15/2020,6 Other/Unknown,24 Unknown,3
11/16/2020,1 Congregate Care,1 Long-Term Care Homes,101
11/16/2020,1 Congregate Care,2 Hospitals,26
11/16/2020,1 Congregate Care,3 Retirement Homes,60
11/16/2020,2 Congregate Living,18 Short-term accommodations,2
11/16/2020,2 Congregate Living,22 Congregate other,7
11/16/2020,2 Congregate Living,4 Group Home/Supportive Housing,28
11/16/2020,2 Congregate Living,5 Correctional Facility,2
11/16/2020,2 Congregate Living,6 Shelter,13
11/16/2020,3 Education,10 School - Post-Secondary,2
11/16/2020,3 Education,11 Child care,49
11/16/2020,3 Education,7 School - Elementary,64
11/16/2020,3 Education,8 School - Secondary,17
11/16/2020,3 Education,9 School - Elementary/Secondary,4
11/16/2020,4 Workplace,12 Workplace - Farm,4
11/16/2020,4 Workplace,13 Workplace - Food Processing,9
11/16/2020,4 Workplace,14 Workplace - Other,143
11/16/2020,4 Workplace,15 Retail,5
11/16/2020,4 Workplace,16 Medical/Health Service,3
11/16/2020,5 Recreational,17 Bar/restaurant/nightclub,18
11/16/2020,5 Recreational,19 Recreational fitness,11
11/16/2020,5 Recreational,20 Personal service settings,1
11/16/2020,5 Recreational,21 Other recreation,18
11/16/2020,6 Other/Unknown,23 Other,21
11/16/2020,6 Other/Unknown,24 Unknown,3
11/17/2020,1 Congregate Care,1 Long-Term Care Homes,96
11/17/2020,1 Congregate Care,2 Hospitals,26
11/17/2020,1 Congregate Care,3 Retirement Homes,63
11/17/2020,2 Congregate Living,18 Short-term accommodations,2
11/17/2020,2 Congregate Living,22 Congregate other,8
11/17/2020,2 Congregate Living,4 Group Home/Supportive Housing,28
11/17/2020,2 Congregate Living,5 Correctional Facility,2
11/17/2020,2 Congregate Living,6 Shelter,11
11/17/2020,3 Education,10 School - Post-Secondary,2
11/17/2020,3 Education,11 Child care,49
11/17/2020,3 Education,7 School - Elementary,61
11/17/2020,3 Education,8 School - Secondary,20
11/17/2020,3 Education,9 School - Elementary/Secondary,5
11/17/2020,4 Workplace,12 Workplace - Farm,4
11/17/2020,4 Workplace,13 Workplace - Food Processing,10
11/17/2020,4 Workplace,14 Workplace - Other,140
11/17/2020,4 Workplace,15 Retail,5
11/17/2020,4 Workplace,16 Medical/Health Service,4
11/17/2020,5 Recreational,17 Bar/restaurant/nightclub,20
11/17/2020,5 Recreational,19 Recreational fitness,8
11/17/2020,5 Recreational,20 Personal service settings,1
11/17/2020,5 Recreational,21 Other recreation,18
11/17/2020,6 Other/Unknown,23 Other,25
11/17/2020,6 Other/Unknown,24 Unknown,4
11/18/2020,1 Congregate Care,1 Long-Term Care Homes,96
11/18/2020,1 Congregate Care,2 Hospitals,28
11/18/2020,1 Congregate Care,3 Retirement Homes,63
