Date,Health Authority,Metric,Count
2020-02-03,Vancouver Island,Total Tests,9
2020-02-03,Vancouver Island,Positivity,0
2020-02-03,Vancouver Island,Turn Around,56
2020-02-04,BC,New Tests,50
2020-02-04,BC,Total Tests,267
2020-02-04,BC,Positivity,3.51
2020-02-04,BC,Turn Around,45.4
2020-02-04,Fraser,New Tests,17
2020-02-04,Fraser,Total Tests,145
2020-02-04,Fraser,Positivity,0
2020-02-04,Fraser,Turn Around,41.9
2020-02-04,Interior,New Tests,9
2020-02-04,Interior,Total Tests,12
2020-02-04,Interior,Positivity,0
2020-02-04,Interior,Turn Around,72
2020-02-04,Northern,New Tests,0
2020-02-04,Northern,Total Tests,0
2020-02-04,Northern,Positivity,0
2020-02-04,Northern,Turn Around,0
2020-02-04,Unknown,New Tests,3
2020-02-04,Unknown,Total Tests,3
2020-02-04,Unknown,Positivity,0
2020-02-04,Unknown,Turn Around,71.4
2020-02-04,Vancouver Coastal,New Tests,9
2020-02-04,Vancouver Coastal,Total Tests,85
2020-02-04,Vancouver Coastal,Positivity,2.86
2020-02-04,Vancouver Coastal,Turn Around,56
2020-02-04,Vancouver Island,New Tests,12
2020-02-04,Vancouver Island,Total Tests,21
2020-02-04,Vancouver Island,Positivity,19.05
2020-02-04,Vancouver Island,Turn Around,16
2020-02-05,BC,New Tests,35
2020-02-05,BC,Total Tests,302
2020-02-05,BC,Positivity,2.95
2020-02-05,BC,Turn Around,42.3
2020-02-05,Fraser,New Tests,19
2020-02-05,Fraser,Total Tests,164
2020-02-05,Fraser,Positivity,0
2020-02-05,Fraser,Turn Around,34.5
2020-02-05,Interior,New Tests,1
2020-02-05,Interior,Total Tests,13
2020-02-05,Interior,Positivity,0
2020-02-05,Interior,Turn Around,56
2020-02-05,Northern,New Tests,1
2020-02-05,Northern,Total Tests,2
2020-02-05,Northern,Positivity,0
2020-02-05,Northern,Turn Around,152
2020-02-05,Unknown,New Tests,0
2020-02-05,Unknown,Total Tests,0
2020-02-05,Unknown,Positivity,0
2020-02-05,Unknown,Turn Around,0
2020-02-05,Vancouver Coastal,New Tests,9
2020-02-05,Vancouver Coastal,Total Tests,94
2020-02-05,Vancouver Coastal,Positivity,1.41
2020-02-05,Vancouver Coastal,Turn Around,37.3
2020-02-05,Vancouver Island,New Tests,5
2020-02-05,Vancouver Island,Total Tests,26
2020-02-05,Vancouver Island,Positivity,16
2020-02-05,Vancouver Island,Turn Around,56
2020-02-06,BC,New Tests,63
2020-02-06,BC,Total Tests,365
2020-02-06,BC,Positivity,2.62
2020-02-06,BC,Turn Around,36.2
2020-02-06,Fraser,New Tests,32
2020-02-06,Fraser,Total Tests,196
2020-02-06,Fraser,Positivity,0
2020-02-06,Fraser,Turn Around,29.8
2020-02-06,Interior,New Tests,3
2020-02-06,Interior,Total Tests,16
2020-02-06,Interior,Positivity,0
2020-02-06,Interior,Turn Around,112
2020-02-06,Northern,New Tests,0
2020-02-06,Northern,Total Tests,0
2020-02-06,Northern,Positivity,0
2020-02-06,Northern,Turn Around,0
2020-02-06,Unknown,New Tests,0
2020-02-06,Unknown,Total Tests,0
2020-02-06,Unknown,Positivity,0
2020-02-06,Unknown,Turn Around,0
2020-02-06,Vancouver Coastal,New Tests,22
2020-02-06,Vancouver Coastal,Total Tests,116
2020-02-06,Vancouver Coastal,Positivity,1.33
2020-02-06,Vancouver Coastal,Turn Around,26.5
2020-02-06,Vancouver Island,New Tests,6
2020-02-06,Vancouver Island,Total Tests,32
2020-02-06,Vancouver Island,Positivity,13.79
2020-02-06,Vancouver Island,Turn Around,68
2020-02-07,BC,New Tests,41
2020-02-07,BC,Total Tests,406
2020-02-07,BC,Positivity,2.46
2020-02-07,BC,Turn Around,35.5
2020-02-07,Fraser,New Tests,28
2020-02-07,Fraser,Total Tests,224
2020-02-07,Fraser,Positivity,0
2020-02-07,Fraser,Turn Around,34.6
2020-02-07,Interior,New Tests,0
2020-02-07,Interior,Total Tests,0
2020-02-07,Interior,Positivity,0
2020-02-07,Interior,Turn Around,0
2020-02-07,Northern,New Tests,0
2020-02-07,Northern,Total Tests,0
2020-02-07,Northern,Positivity,0
2020-02-07,Northern,Turn Around,0
2020-02-07,Unknown,New Tests,0
2020-02-07,Unknown,Total Tests,0
2020-02-07,Unknown,Positivity,0
2020-02-07,Unknown,Turn Around,0
2020-02-07,Vancouver Coastal,New Tests,7
2020-02-07,Vancouver Coastal,Total Tests,123
2020-02-07,Vancouver Coastal,Positivity,1.28
2020-02-07,Vancouver Coastal,Turn Around,42.3
2020-02-07,Vancouver Island,New Tests,6
2020-02-07,Vancouver Island,Total Tests,38
2020-02-07,Vancouver Island,Positivity,11.76
2020-02-07,Vancouver Island,Turn Around,32
2020-02-08,BC,New Tests,30
2020-02-08,BC,Total Tests,436
2020-02-08,BC,Positivity,2.41
2020-02-08,BC,Turn Around,40.8
2020-02-08,Fraser,New Tests,20
2020-02-08,Fraser,Total Tests,244
2020-02-08,Fraser,Positivity,0
2020-02-08,Fraser,Turn Around,35.6
2020-02-08,Interior,New Tests,1
2020-02-08,Interior,Total Tests,17
2020-02-08,Interior,Positivity,0
2020-02-08,Interior,Turn Around,56
2020-02-08,Northern,New Tests,2
2020-02-08,Northern,Total Tests,4
2020-02-08,Northern,Positivity,0
2020-02-08,Northern,Turn Around,80
2020-02-08,Unknown,New Tests,0
2020-02-08,Unknown,Total Tests,0
2020-02-08,Unknown,Positivity,0
2020-02-08,Unknown,Turn Around,0
2020-02-08,Vancouver Coastal,New Tests,6
2020-02-08,Vancouver Coastal,Total Tests,129
2020-02-08,Vancouver Coastal,Positivity,1.3
2020-02-08,Vancouver Coastal,Turn Around,40
2020-02-08,Vancouver Island,New Tests,1
2020-02-08,Vancouver Island,Total Tests,39
2020-02-08,Vancouver Island,Positivity,12.12
2020-02-08,Vancouver Island,Turn Around,56
2020-02-09,BC,New Tests,10
2020-02-09,BC,Total Tests,446
2020-02-09,BC,Positivity,2.11
2020-02-09,BC,Turn Around,20
2020-02-09,Fraser,New Tests,0
2020-02-09,Fraser,Total Tests,0
2020-02-09,Fraser,Positivity,0
2020-02-09,Fraser,Turn Around,0
2020-02-09,Interior,New Tests,0
2020-02-09,Interior,Total Tests,0
2020-02-09,Interior,Positivity,0
2020-02-09,Interior,Turn Around,0
2020-02-09,Northern,New Tests,0
2020-02-09,Northern,Total Tests,0
2020-02-09,Northern,Positivity,0
2020-02-09,Northern,Turn Around,0
2020-02-09,Unknown,New Tests,2
2020-02-09,Unknown,Total Tests,5
2020-02-09,Unknown,Positivity,0
2020-02-09,Unknown,Turn Around,32
2020-02-09,Vancouver Coastal,New Tests,8
2020-02-09,Vancouver Coastal,Total Tests,137
2020-02-09,Vancouver Coastal,Positivity,0
2020-02-09,Vancouver Coastal,Turn Around,17
2020-02-09,Vancouver Island,New Tests,0
2020-02-09,Vancouver Island,Total Tests,0
2020-02-09,Vancouver Island,Positivity,0
2020-02-09,Vancouver Island,Turn Around,0
2020-02-10,BC,New Tests,37
2020-02-10,BC,Total Tests,483
2020-02-10,BC,Positivity,2.26
2020-02-10,BC,Turn Around,60.5
2020-02-10,Fraser,New Tests,11
2020-02-10,Fraser,Total Tests,255
2020-02-10,Fraser,Positivity,0
2020-02-10,Fraser,Turn Around,84.4
2020-02-10,Interior,New Tests,0
2020-02-10,Interior,Total Tests,0
2020-02-10,Interior,Positivity,0
2020-02-10,Interior,Turn Around,0
2020-02-10,Northern,New Tests,0
2020-02-10,Northern,Total Tests,0
2020-02-10,Northern,Positivity,0
2020-02-10,Northern,Turn Around,0
2020-02-10,Unknown,New Tests,0
2020-02-10,Unknown,Total Tests,0
2020-02-10,Unknown,Positivity,0
2020-02-10,Unknown,Turn Around,0
2020-02-10,Vancouver Coastal,New Tests,24
2020-02-10,Vancouver Coastal,Total Tests,161
2020-02-10,Vancouver Coastal,Positivity,0
2020-02-10,Vancouver Coastal,Turn Around,48
2020-02-10,Vancouver Island,New Tests,2
2020-02-10,Vancouver Island,Total Tests,41
2020-02-10,Vancouver Island,Positivity,12.12
2020-02-10,Vancouver Island,Turn Around,80
2020-02-11,BC,New Tests,70
2020-02-11,BC,Total Tests,553
2020-02-11,BC,Positivity,0
2020-02-11,BC,Turn Around,60.5
2020-02-11,Fraser,New Tests,39
2020-02-11,Fraser,Total Tests,294
2020-02-11,Fraser,Positivity,0
2020-02-11,Fraser,Turn Around,55.4
2020-02-11,Interior,New Tests,4
2020-02-11,Interior,Total Tests,21
2020-02-11,Interior,Positivity,0
2020-02-11,Interior,Turn Around,80
2020-02-11,Northern,New Tests,1
2020-02-11,Northern,Total Tests,5
2020-02-11,Northern,Positivity,0
2020-02-11,Northern,Turn Around,80
2020-02-11,Unknown,New Tests,0
2020-02-11,Unknown,Total Tests,0
2020-02-11,Unknown,Positivity,0
2020-02-11,Unknown,Turn Around,0
2020-02-11,Vancouver Coastal,New Tests,19
2020-02-11,Vancouver Coastal,Total Tests,180
2020-02-11,Vancouver Coastal,Positivity,0
2020-02-11,Vancouver Coastal,Turn Around,76.2
2020-02-11,Vancouver Island,New Tests,7
2020-02-11,Vancouver Island,Total Tests,48
2020-02-11,Vancouver Island,Positivity,10.26
2020-02-11,Vancouver Island,Turn Around,32
2020-02-12,BC,New Tests,55
2020-02-12,BC,Total Tests,608
2020-02-12,BC,Positivity,0
2020-02-12,BC,Turn Around,36.8
2020-02-12,Fraser,New Tests,28
2020-02-12,Fraser,Total Tests,322
2020-02-12,Fraser,Positivity,0
2020-02-12,Fraser,Turn Around,28.6
2020-02-12,Interior,New Tests,6
2020-02-12,Interior,Total Tests,27
2020-02-12,Interior,Positivity,0
2020-02-12,Interior,Turn Around,56
2020-02-12,Northern,New Tests,0
2020-02-12,Northern,Total Tests,0
2020-02-12,Northern,Positivity,0
2020-02-12,Northern,Turn Around,0
2020-02-12,Unknown,New Tests,0
2020-02-12,Unknown,Total Tests,0
2020-02-12,Unknown,Positivity,0
2020-02-12,Unknown,Turn Around,0
2020-02-12,Vancouver Coastal,New Tests,15
2020-02-12,Vancouver Coastal,Total Tests,195
2020-02-12,Vancouver Coastal,Positivity,0
2020-02-12,Vancouver Coastal,Turn Around,43.2
2020-02-12,Vancouver Island,New Tests,6
2020-02-12,Vancouver Island,Total Tests,54
2020-02-12,Vancouver Island,Positivity,0
2020-02-12,Vancouver Island,Turn Around,40
2020-02-13,BC,New Tests,91
2020-02-13,BC,Total Tests,699
2020-02-13,BC,Positivity,0.6
2020-02-13,BC,Turn Around,36
2020-02-13,Fraser,New Tests,55
2020-02-13,Fraser,Total Tests,377
2020-02-13,Fraser,Positivity,0
2020-02-13,Fraser,Turn Around,29.8
2020-02-13,Interior,New Tests,2
2020-02-13,Interior,Total Tests,29
2020-02-13,Interior,Positivity,7.69
2020-02-13,Interior,Turn Around,56
2020-02-13,Northern,New Tests,1
2020-02-13,Northern,Total Tests,6
2020-02-13,Northern,Positivity,0
2020-02-13,Northern,Turn Around,80
2020-02-13,Unknown,New Tests,0
2020-02-13,Unknown,Total Tests,0
2020-02-13,Unknown,Positivity,0
2020-02-13,Unknown,Turn Around,0
2020-02-13,Vancouver Coastal,New Tests,27
2020-02-13,Vancouver Coastal,Total Tests,222
2020-02-13,Vancouver Coastal,Positivity,0
2020-02-13,Vancouver Coastal,Turn Around,41.8
2020-02-13,Vancouver Island,New Tests,6
2020-02-13,Vancouver Island,Total Tests,60
2020-02-13,Vancouver Island,Positivity,0
2020-02-13,Vancouver Island,Turn Around,52
2020-02-14,BC,New Tests,44
2020-02-14,BC,Total Tests,743
2020-02-14,BC,Positivity,0.59
2020-02-14,BC,Turn Around,41.8
2020-02-14,Fraser,New Tests,13
2020-02-14,Fraser,Total Tests,390
2020-02-14,Fraser,Positivity,0
2020-02-14,Fraser,Turn Around,32
2020-02-14,Interior,New Tests,2
2020-02-14,Interior,Total Tests,31
2020-02-14,Interior,Positivity,10.53
2020-02-14,Interior,Turn Around,56
2020-02-14,Northern,New Tests,0
2020-02-14,Northern,Total Tests,0
2020-02-14,Northern,Positivity,0
2020-02-14,Northern,Turn Around,0
2020-02-14,Unknown,New Tests,0
2020-02-14,Unknown,Total Tests,0
2020-02-14,Unknown,Positivity,0
2020-02-14,Unknown,Turn Around,0
2020-02-14,Vancouver Coastal,New Tests,25
2020-02-14,Vancouver Coastal,Total Tests,247
2020-02-14,Vancouver Coastal,Positivity,0
2020-02-14,Vancouver Coastal,Turn Around,41.6
2020-02-14,Vancouver Island,New Tests,4
2020-02-14,Vancouver Island,Total Tests,64
