"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-08-04","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-05","Northern","Monteith Correctional Centre",,1,
"2020-08-05","Central","Maplehurst Correctional Complex",,6,3
"2020-08-05","Central","Ontario Correctional Institute",,89,2
"2020-08-05","Toronto","Toronto South Detention Centre",,11,7
"2020-08-05","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-05","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-05","Eastern","Central East Correctional Centre",,1,1
"2020-08-05","Central","Niagara Detention Centre",1,,1
"2020-08-05","Western","Central North Correctional Centre",,1,1
"2020-08-05","Northern","Kenora Jail",,2,
"2020-08-05","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-06","Northern","Monteith Correctional Centre",,1,
"2020-08-06","Central","Maplehurst Correctional Complex",,6,3
"2020-08-06","Central","Ontario Correctional Institute",,89,2
"2020-08-06","Toronto","Toronto South Detention Centre",,11,7
"2020-08-06","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-06","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-06","Eastern","Central East Correctional Centre",,1,1
"2020-08-06","Central","Niagara Detention Centre",1,,1
"2020-08-06","Western","Central North Correctional Centre",,1,1
"2020-08-06","Northern","Kenora Jail",,2,
"2020-08-06","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-09","Northern","Monteith Correctional Centre",,1,
"2020-08-09","Central","Maplehurst Correctional Complex",,6,3
"2020-08-09","Central","Ontario Correctional Institute",,89,2
"2020-08-09","Toronto","Toronto South Detention Centre",,11,7
"2020-08-09","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-09","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-09","Eastern","Central East Correctional Centre",1,1,1
"2020-08-09","Central","Niagara Detention Centre",1,,1
"2020-08-09","Western","Central North Correctional Centre",,1,1
"2020-08-09","Northern","Kenora Jail",,2,
"2020-08-09","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-10","Northern","Monteith Correctional Centre",,1,
"2020-08-10","Central","Maplehurst Correctional Complex",,6,3
"2020-08-10","Central","Ontario Correctional Institute",,89,2
"2020-08-10","Toronto","Toronto South Detention Centre",,11,7
"2020-08-10","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-10","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-10","Eastern","Central East Correctional Centre",1,1,1
"2020-08-10","Central","Niagara Detention Centre",1,,1
"2020-08-10","Western","Central North Correctional Centre",,1,1
"2020-08-10","Northern","Kenora Jail",,2,
"2020-08-10","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-11","Northern","Monteith Correctional Centre",,1,
"2020-08-11","Central","Maplehurst Correctional Complex",,6,3
"2020-08-11","Central","Ontario Correctional Institute",,89,2
"2020-08-11","Toronto","Toronto South Detention Centre",,11,7
"2020-08-11","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-11","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-11","Eastern","Central East Correctional Centre",,1,2
"2020-08-11","Central","Niagara Detention Centre",1,,1
"2020-08-11","Western","Central North Correctional Centre",,1,1
"2020-08-11","Northern","Kenora Jail",,2,
"2020-08-11","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-12","Northern","Monteith Correctional Centre",,1,
"2020-08-12","Central","Maplehurst Correctional Complex",,6,3
"2020-08-12","Central","Ontario Correctional Institute",,89,2
"2020-08-12","Toronto","Toronto South Detention Centre",,11,7
"2020-08-12","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-12","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-12","Eastern","Central East Correctional Centre",,1,2
"2020-08-12","Central","Niagara Detention Centre",1,,1
"2020-08-12","Western","Central North Correctional Centre",,1,1
"2020-08-12","Northern","Kenora Jail",,2,
"2020-08-12","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-13","Northern","Monteith Correctional Centre",,1,
"2020-08-13","Central","Maplehurst Correctional Complex",,6,3
"2020-08-13","Central","Ontario Correctional Institute",,89,2
"2020-08-13","Toronto","Toronto South Detention Centre",,11,7
"2020-08-13","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-13","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-13","Eastern","Central East Correctional Centre",,1,2
"2020-08-13","Central","Niagara Detention Centre",,1,1
"2020-08-13","Western","Central North Correctional Centre",,1,1
"2020-08-13","Northern","Kenora Jail",,2,
"2020-08-13","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-16","Northern","Monteith Correctional Centre",,1,
"2020-08-16","Central","Maplehurst Correctional Complex",,6,3
"2020-08-16","Central","Ontario Correctional Institute",,89,2
"2020-08-16","Toronto","Toronto South Detention Centre",,11,7
"2020-08-16","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-16","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-16","Eastern","Central East Correctional Centre",,1,2
"2020-08-16","Central","Niagara Detention Centre",,1,1
"2020-08-16","Western","Central North Correctional Centre",,1,1
"2020-08-16","Northern","Kenora Jail",,2,
"2020-08-16","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-17","Northern","Monteith Correctional Centre",,1,
"2020-08-17","Central","Maplehurst Correctional Complex",,6,3
"2020-08-17","Central","Ontario Correctional Institute",,89,2
"2020-08-17","Toronto","Toronto South Detention Centre",,11,7
"2020-08-17","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-17","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-17","Eastern","Central East Correctional Centre",,1,2
"2020-08-17","Central","Niagara Detention Centre",,1,1
"2020-08-17","Western","Central North Correctional Centre",,1,1
"2020-08-17","Northern","Kenora Jail",,2,
"2020-08-17","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-17","Western","Ottawa Carleton Detention Centre",1,,
"2020-08-18","Northern","Monteith Correctional Centre",,1,
"2020-08-18","Central","Maplehurst Correctional Complex",,6,3
"2020-08-18","Central","Ontario Correctional Institute",,89,2
"2020-08-18","Toronto","Toronto South Detention Centre",,11,7
"2020-08-18","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-18","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-18","Eastern","Central East Correctional Centre",,1,2
"2020-08-18","Central","Niagara Detention Centre",,1,1
"2020-08-18","Western","Central North Correctional Centre",,1,1
"2020-08-18","Northern","Kenora Jail",,2,
"2020-08-18","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-18","Western","Ottawa Carleton Detention Centre",,,1
"2020-08-19","Northern","Monteith Correctional Centre",,1,
"2020-08-19","Central","Maplehurst Correctional Complex",,6,3
"2020-08-19","Central","Ontario Correctional Institute",,89,2
"2020-08-19","Toronto","Toronto South Detention Centre",,11,7
"2020-08-19","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-19","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-19","Eastern","Central East Correctional Centre",,1,2
"2020-08-19","Central","Niagara Detention Centre",,1,1
"2020-08-19","Western","Central North Correctional Centre",,1,1
"2020-08-19","Northern","Kenora Jail",,2,
"2020-08-19","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-19","Western","Ottawa Carleton Detention Centre",,,1
"2020-08-20","Northern","Monteith Correctional Centre",,1,
"2020-08-20","Central","Maplehurst Correctional Complex",,6,3
"2020-08-20","Central","Ontario Correctional Institute",,89,2
"2020-08-20","Toronto","Toronto South Detention Centre",,11,7
"2020-08-20","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-20","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-20","Eastern","Central East Correctional Centre",,1,2
"2020-08-20","Central","Niagara Detention Centre",,1,1
"2020-08-20","Western","Central North Correctional Centre",,1,1
"2020-08-20","Northern","Kenora Jail",,2,
"2020-08-20","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-20","Western","Ottawa Carleton Detention Centre",,,1
"2020-08-23","Northern","Monteith Correctional Centre",,1,
"2020-08-23","Central","Maplehurst Correctional Complex",,6,3
"2020-08-23","Central","Ontario Correctional Institute",,89,2
"2020-08-23","Toronto","Toronto South Detention Centre",1,11,7
"2020-08-23","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-23","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-23","Eastern","Central East Correctional Centre",,1,2
"2020-08-23","Central","Niagara Detention Centre",,1,1
"2020-08-23","Western","Central North Correctional Centre",,1,1
"2020-08-23","Northern","Kenora Jail",,2,
"2020-08-23","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-23","Western","Ottawa Carleton Detention Centre",,,1
"2020-08-24","Northern","Monteith Correctional Centre",,1,
"2020-08-24","Central","Maplehurst Correctional Complex",,6,3
"2020-08-24","Central","Ontario Correctional Institute",,89,2
"2020-08-24","Toronto","Toronto South Detention Centre",1,11,7
"2020-08-24","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-24","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-24","Eastern","Central East Correctional Centre",,1,2
"2020-08-24","Central","Niagara Detention Centre",,1,1
"2020-08-24","Western","Central North Correctional Centre",,1,1
"2020-08-24","Northern","Kenora Jail",,2,
"2020-08-24","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-24","Western","Ottawa Carleton Detention Centre",1,,1
"2020-08-25","Northern","Monteith Correctional Centre",,1,
"2020-08-25","Central","Maplehurst Correctional Complex",,6,3
"2020-08-25","Central","Ontario Correctional Institute",,89,2
"2020-08-25","Toronto","Toronto South Detention Centre",1,11,7
"2020-08-25","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-25","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-25","Eastern","Central East Correctional Centre",,1,2
"2020-08-25","Central","Niagara Detention Centre",,1,1
"2020-08-25","Western","Central North Correctional Centre",,1,1
"2020-08-25","Northern","Kenora Jail",,2,
"2020-08-25","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-25","Western","Ottawa Carleton Detention Centre",1,,1
"2020-08-26","Northern","Monteith Correctional Centre",,1,
"2020-08-26","Central","Maplehurst Correctional Complex",,6,3
"2020-08-26","Central","Ontario Correctional Institute",,89,2
"2020-08-26","Toronto","Toronto South Detention Centre",1,11,7
"2020-08-26","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-26","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-26","Eastern","Central East Correctional Centre",,1,2
"2020-08-26","Central","Niagara Detention Centre",,1,1
"2020-08-26","Western","Central North Correctional Centre",,1,1
"2020-08-26","Northern","Kenora Jail",,2,
"2020-08-26","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-26","Western","Ottawa Carleton Detention Centre",1,,1
"2020-08-27","Northern","Monteith Correctional Centre",,1,
"2020-08-27","Central","Maplehurst Correctional Complex",,6,3
"2020-08-27","Central","Ontario Correctional Institute",,89,2
"2020-08-27","Toronto","Toronto South Detention Centre",1,11,7
"2020-08-27","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-27","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-27","Eastern","Central East Correctional Centre",,1,2
"2020-08-27","Central","Niagara Detention Centre",,1,1
"2020-08-27","Western","Central North Correctional Centre",,1,1
"2020-08-27","Northern","Kenora Jail",,2,
"2020-08-27","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-27","Western","Ottawa Carleton Detention Centre",1,,1
"2020-08-30","Northern","Monteith Correctional Centre",,1,
"2020-08-30","Central","Maplehurst Correctional Complex",,6,3
"2020-08-30","Central","Ontario Correctional Institute",,89,2
"2020-08-30","Toronto","Toronto South Detention Centre",1,11,7
"2020-08-30","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-30","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-30","Eastern","Central East Correctional Centre",,1,2
"2020-08-30","Central","Niagara Detention Centre",,1,1
"2020-08-30","Western","Central North Correctional Centre",,1,1
"2020-08-30","Northern","Kenora Jail",,2,
"2020-08-30","Western","Ottawa Carleton Detention Centre",1,,1
"2020-08-30","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-31","Northern","Monteith Correctional Centre",,1,
"2020-08-31","Central","Maplehurst Correctional Complex",,6,3
"2020-08-31","Central","Ontario Correctional Institute",,89,2
"2020-08-31","Toronto","Toronto South Detention Centre",1,11,7
"2020-08-31","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-31","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-31","Eastern","Central East Correctional Centre",,1,2
"2020-08-31","Central","Niagara Detention Centre",,1,1
"2020-08-31","Western","Central North Correctional Centre",,1,1
"2020-08-31","Northern","Kenora Jail",,2,
"2020-08-31","Western","Ottawa Carleton Detention Centre",1,,1
"2020-08-31","Western","South West Detention Center",1,,
"2020-08-31","Toronto","Toronto East Detention Centre",1,,
"2020-08-31","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-01","Northern","Monteith Correctional Centre",,1,
"2020-09-01","Central","Maplehurst Correctional Complex",,6,3
"2020-09-01","Central","Ontario Correctional Institute",,89,2
"2020-09-01","Toronto","Toronto South Detention Centre",1,11,7
"2020-09-01","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-01","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-01","Eastern","Central East Correctional Centre",,1,2
"2020-09-01","Central","Niagara Detention Centre",,1,1
"2020-09-01","Western","Central North Correctional Centre",,1,1
"2020-09-01","Northern","Kenora Jail",,2,
"2020-09-01","Western","Ottawa Carleton Detention Centre",1,,1
"2020-09-01","Western","South West Detention Center",1,,
"2020-09-01","Toronto","Toronto East Detention Centre",1,,
"2020-09-01","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-02","Northern","Monteith Correctional Centre",,1,
"2020-09-02","Central","Maplehurst Correctional Complex",,6,3
"2020-09-02","Central","Ontario Correctional Institute",,89,2
"2020-09-02","Toronto","Toronto South Detention Centre",1,11,7
"2020-09-02","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-02","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-02","Eastern","Central East Correctional Centre",,1,2
"2020-09-02","Central","Niagara Detention Centre",,1,1
"2020-09-02","Western","Central North Correctional Centre",,1,1
"2020-09-02","Northern","Kenora Jail",,2,
"2020-09-02","Western","Ottawa Carleton Detention Centre",1,,1
"2020-09-02","Western","South West Detention Center",1,,
"2020-09-02","Toronto","Toronto East Detention Centre",1,,
"2020-09-02","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-03","Northern","Monteith Correctional Centre",,1,
"2020-09-03","Central","Maplehurst Correctional Complex",,6,3
"2020-09-03","Central","Ontario Correctional Institute",,89,2
"2020-09-03","Toronto","Toronto South Detention Centre",1,11,7
"2020-09-03","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-03","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-03","Eastern","Central East Correctional Centre",,1,2
"2020-09-03","Central","Niagara Detention Centre",,1,1
"2020-09-03","Western","Central North Correctional Centre",,1,1
"2020-09-03","Northern","Kenora Jail",,2,
"2020-09-03","Western","Ottawa Carleton Detention Centre",1,,1
"2020-09-03","Western","South West Detention Center",1,,
"2020-09-03","Toronto","Toronto East Detention Centre",1,,
"2020-09-03","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-07","Northern","Monteith Correctional Centre",,1,
"2020-09-07","Central","Maplehurst Correctional Complex",,6,3
"2020-09-07","Central","Ontario Correctional Institute",,89,2
"2020-09-07","Toronto","Toronto South Detention Centre",,12,7
"2020-09-07","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-07","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-07","Eastern","Central East Correctional Centre",,1,2
"2020-09-07","Central","Niagara Detention Centre",,1,1
"2020-09-07","Western","Central North Correctional Centre",,1,1
"2020-09-07","Northern","Kenora Jail",,2,
"2020-09-07","Western","Ottawa Carleton Detention Centre",1,,1
"2020-09-07","Western","South West Detention Center",1,,
"2020-09-07","Toronto","Toronto East Detention Centre",,1,
"2020-09-07","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-08","Northern","Monteith Correctional Centre",,1,
"2020-09-08","Central","Maplehurst Correctional Complex",,6,3
"2020-09-08","Central","Ontario Correctional Institute",,89,2
"2020-09-08","Toronto","Toronto South Detention Centre",,12,7
"2020-09-08","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-08","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-08","Eastern","Central East Correctional Centre",,1,2
"2020-09-08","Central","Niagara Detention Centre",,1,1
"2020-09-08","Western","Central North Correctional Centre",,1,1
"2020-09-08","Northern","Kenora Jail",,2,
"2020-09-08","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-08","Western","South West Detention Center",1,,
"2020-09-08","Toronto","Toronto East Detention Centre",,1,
"2020-09-08","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-09","Northern","Monteith Correctional Centre",,1,
"2020-09-09","Central","Maplehurst Correctional Complex",,6,3
"2020-09-09","Central","Ontario Correctional Institute",,89,2
"2020-09-09","Toronto","Toronto South Detention Centre",,12,7
"2020-09-09","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-09","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-09","Eastern","Central East Correctional Centre",,1,2
"2020-09-09","Central","Niagara Detention Centre",,1,1
"2020-09-09","Western","Central North Correctional Centre",,1,1
"2020-09-09","Northern","Kenora Jail",,2,
"2020-09-09","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-09","Western","South West Detention Center",1,,
"2020-09-09","Toronto","Toronto East Detention Centre",,1,
"2020-09-09","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-10","Northern","Monteith Correctional Centre",,1,
"2020-09-10","Central","Maplehurst Correctional Complex",,6,3
"2020-09-10","Central","Ontario Correctional Institute",,89,2
"2020-09-10","Toronto","Toronto South Detention Centre",,12,7
"2020-09-10","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-10","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-10","Eastern","Central East Correctional Centre",,1,2
"2020-09-10","Central","Niagara Detention Centre",,1,1
"2020-09-10","Western","Central North Correctional Centre",,1,1
"2020-09-10","Northern","Kenora Jail",,2,
"2020-09-10","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-10","Western","South West Detention Center",1,,
"2020-09-10","Toronto","Toronto East Detention Centre",,1,
"2020-09-10","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-13","Northern","Monteith Correctional Centre",,1,
"2020-09-13","Central","Maplehurst Correctional Complex",,6,3
"2020-09-13","Central","Ontario Correctional Institute",,89,2
"2020-09-13","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-13","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-13","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-13","Eastern","Central East Correctional Centre",,1,2
"2020-09-13","Central","Niagara Detention Centre",,1,1
"2020-09-13","Western","Central North Correctional Centre",,1,1
"2020-09-13","Northern","Kenora Jail",,2,
"2020-09-13","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-13","Western","South West Detention Center",1,,
"2020-09-13","Toronto","Toronto East Detention Centre",,1,
"2020-09-13","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-14","Northern","Monteith Correctional Centre",,1,
"2020-09-14","Central","Maplehurst Correctional Complex",,6,3
"2020-09-14","Central","Ontario Correctional Institute",,89,2
"2020-09-14","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-14","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-14","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-14","Eastern","Central East Correctional Centre",,1,2
"2020-09-14","Central","Niagara Detention Centre",,1,1
"2020-09-14","Western","Central North Correctional Centre",,1,1
"2020-09-14","Northern","Kenora Jail",,2,
"2020-09-14","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-14","Western","South West Detention Center",,1,
"2020-09-14","Toronto","Toronto East Detention Centre",,1,
"2020-09-14","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-15","Northern","Monteith Correctional Centre",,1,
"2020-09-15","Central","Maplehurst Correctional Complex",,6,3
"2020-09-15","Central","Ontario Correctional Institute",,89,2
"2020-09-15","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-15","Central","Milton-Vanier Centre For Women",,1,3
"2020-09-15","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-15","Eastern","Central East Correctional Centre",,1,2
"2020-09-15","Central","Niagara Detention Centre",,1,1
"2020-09-15","Western","Central North Correctional Centre",,1,1
"2020-09-15","Northern","Kenora Jail",,2,
"2020-09-15","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-15","Western","South West Detention Center",1,1,
"2020-09-15","Toronto","Toronto East Detention Centre",,1,
"2020-09-15","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-16","Northern","Monteith Correctional Centre",,1,
"2020-09-16","Central","Maplehurst Correctional Complex",,6,3
"2020-09-16","Central","Ontario Correctional Institute",,89,2
"2020-09-16","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-16","Central","Milton-Vanier Centre For Women",1,1,3
"2020-09-16","Central","Hamilton Wentworth Det Centre",,1,
"2020-09-16","Eastern","Central East Correctional Centre",,1,2
"2020-09-16","Central","Niagara Detention Centre",,1,1
"2020-09-16","Western","Central North Correctional Centre",,1,1
"2020-09-16","Northern","Kenora Jail",,2,
"2020-09-16","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-16","Western","South West Detention Center",1,1,
"2020-09-16","Toronto","Toronto East Detention Centre",,1,
"2020-09-16","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-17","Northern","Monteith Correctional Centre",,1,
"2020-09-17","Central","Maplehurst Correctional Complex",,6,3
"2020-09-17","Central","Ontario Correctional Institute",,89,2
"2020-09-17","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-17","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-17","Central","Hamilton Wentworth Det Centre",1,1,
"2020-09-17","Eastern","Central East Correctional Centre",,1,2
"2020-09-17","Central","Niagara Detention Centre",,1,1
"2020-09-17","Western","Central North Correctional Centre",,1,1
"2020-09-17","Northern","Kenora Jail",,2,
"2020-09-17","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-17","Western","South West Detention Center",1,1,
"2020-09-17","Toronto","Toronto East Detention Centre",,1,
"2020-09-17","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-20","Northern","Monteith Correctional Centre",,1,
"2020-09-20","Central","Maplehurst Correctional Complex",,6,3
"2020-09-20","Central","Ontario Correctional Institute",,89,2
"2020-09-20","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-20","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-20","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-20","Eastern","Central East Correctional Centre",,1,2
"2020-09-20","Central","Niagara Detention Centre",,1,1
"2020-09-20","Western","Central North Correctional Centre",,1,1
"2020-09-20","Northern","Kenora Jail",,2,
"2020-09-20","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-20","Western","South West Detention Center",1,1,
"2020-09-20","Toronto","Toronto East Detention Centre",,1,
"2020-09-20","Western","Elgin-Middlesex Det. Centre",,1,
"2020-09-21","Northern","Monteith Correctional Centre",,1,
"2020-09-21","Central","Maplehurst Correctional Complex",,6,3
"2020-09-21","Central","Ontario Correctional Institute",,89,2
"2020-09-21","Toronto","Toronto South Detention Centre",1,12,7
"2020-09-21","Central","Milton-Vanier Centre For Women",,1,4
"2020-09-21","Central","Hamilton Wentworth Det Centre",,1,1
"2020-09-21","Eastern","Central East Correctional Centre",,1,2
"2020-09-21","Central","Niagara Detention Centre",,1,1
"2020-09-21","Western","Central North Correctional Centre",1,1,1
"2020-09-21","Northern","Kenora Jail",,2,
"2020-09-21","Western","Ottawa Carleton Detention Centre",,1,1
"2020-09-21","Western","South West Detention Center",1,1,
"2020-09-21","Toronto","Toronto East Detention Centre",,1,
"2020-09-21","Western","Elgin-Middlesex Det. Centre",,1,
