"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-06-28","Western","Central North Correctional Centre",,1,
"2020-06-28","Northern","Kenora Jail",,2,
"2020-06-28","Western","Elgin-Middlesex Det. Centre",,1,
"2020-06-29","Northern","Monteith Correctional Centre",,1,
"2020-06-29","Central","Maplehurst Correctional Complex",,5,3
"2020-06-29","Central","Ontario Correctional Institute",,89,2
"2020-06-29","Toronto","Toronto South Detention Centre",1,8,6
"2020-06-29","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-29","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-29","Eastern","Central East Correctional Centre",,1,1
"2020-06-29","Central","Niagara Detention Centre",,,1
"2020-06-29","Western","Central North Correctional Centre",,1,
"2020-06-29","Northern","Kenora Jail",,2,
"2020-06-29","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-01","Northern","Monteith Correctional Centre",,1,
"2020-07-01","Central","Maplehurst Correctional Complex",,5,3
"2020-07-01","Central","Ontario Correctional Institute",,89,2
"2020-07-01","Toronto","Toronto South Detention Centre",2,8,6
"2020-07-01","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-01","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-01","Eastern","Central East Correctional Centre",,1,1
"2020-07-01","Central","Niagara Detention Centre",,,1
"2020-07-01","Western","Central North Correctional Centre",,1,
"2020-07-01","Northern","Kenora Jail",,2,
"2020-07-01","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-02","Northern","Monteith Correctional Centre",,1,
"2020-07-02","Central","Maplehurst Correctional Complex",,5,3
"2020-07-02","Central","Ontario Correctional Institute",,89,2
"2020-07-02","Toronto","Toronto South Detention Centre",2,8,6
"2020-07-02","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-02","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-02","Eastern","Central East Correctional Centre",,1,1
"2020-07-02","Central","Niagara Detention Centre",,,1
"2020-07-02","Western","Central North Correctional Centre",,1,
"2020-07-02","Northern","Kenora Jail",,2,
"2020-07-02","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-05","Northern","Monteith Correctional Centre",,1,
"2020-07-05","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-05","Central","Ontario Correctional Institute",,89,2
"2020-07-05","Toronto","Toronto South Detention Centre",3,8,6
"2020-07-05","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-05","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-05","Eastern","Central East Correctional Centre",,1,1
"2020-07-05","Central","Niagara Detention Centre",,,1
"2020-07-05","Western","Central North Correctional Centre",,1,
"2020-07-05","Northern","Kenora Jail",,2,
"2020-07-05","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-06","Northern","Monteith Correctional Centre",,1,
"2020-07-06","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-06","Central","Ontario Correctional Institute",,89,2
"2020-07-06","Toronto","Toronto South Detention Centre",3,8,6
"2020-07-06","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-06","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-06","Eastern","Central East Correctional Centre",,1,1
"2020-07-06","Central","Niagara Detention Centre",,,1
"2020-07-06","Western","Central North Correctional Centre",,1,
"2020-07-06","Northern","Kenora Jail",,2,
"2020-07-06","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-07","Northern","Monteith Correctional Centre",,1,
"2020-07-07","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-07","Central","Ontario Correctional Institute",,89,2
"2020-07-07","Toronto","Toronto South Detention Centre",2,8,7
"2020-07-07","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-07","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-07","Eastern","Central East Correctional Centre",,1,1
"2020-07-07","Central","Niagara Detention Centre",,,1
"2020-07-07","Western","Central North Correctional Centre",,1,
"2020-07-07","Northern","Kenora Jail",,2,
"2020-07-07","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-08","Northern","Monteith Correctional Centre",,1,
"2020-07-08","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-08","Central","Ontario Correctional Institute",,89,2
"2020-07-08","Toronto","Toronto South Detention Centre",2,8,7
"2020-07-08","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-08","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-08","Eastern","Central East Correctional Centre",,1,1
"2020-07-08","Central","Niagara Detention Centre",,,1
"2020-07-08","Western","Central North Correctional Centre",,1,
"2020-07-08","Northern","Kenora Jail",,2,
"2020-07-08","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-09","Northern","Monteith Correctional Centre",,1,
"2020-07-09","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-09","Central","Ontario Correctional Institute",,89,2
"2020-07-09","Toronto","Toronto South Detention Centre",3,8,7
"2020-07-09","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-09","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-09","Eastern","Central East Correctional Centre",,1,1
"2020-07-09","Central","Niagara Detention Centre",,,1
"2020-07-09","Western","Central North Correctional Centre",,1,
"2020-07-09","Northern","Kenora Jail",,2,
"2020-07-09","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-12","Northern","Monteith Correctional Centre",,1,
"2020-07-12","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-12","Central","Ontario Correctional Institute",,89,2
"2020-07-12","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-12","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-12","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-12","Eastern","Central East Correctional Centre",,1,1
"2020-07-12","Central","Niagara Detention Centre",,,1
"2020-07-12","Western","Central North Correctional Centre",,1,
"2020-07-12","Northern","Kenora Jail",,2,
"2020-07-12","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-13","Northern","Monteith Correctional Centre",,1,
"2020-07-13","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-13","Central","Ontario Correctional Institute",,89,2
"2020-07-13","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-13","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-13","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-13","Eastern","Central East Correctional Centre",,1,1
"2020-07-13","Central","Niagara Detention Centre",,,1
