Reported_Date,Region,Institution,Total_Active_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date
7/2/2020,Central,Maplehurst Correctional Complex,,5,3
7/2/2020,Central,Ontario Correctional Institute,,89,2
7/2/2020,Toronto,Toronto South Detention Centre,2,8,6
7/2/2020,Central,Milton-Vanier Centre For Women,,1,3
7/2/2020,Central,Hamilton Wentworth Det Centre,,1,
7/2/2020,Eastern,Central East Correctional Centre,,1,1
7/2/2020,Central,Niagara Detention Centre,,,1
7/2/2020,Western,Central North Correctional Centre,,1,
7/2/2020,Northern,Kenora Jail,,2,
7/2/2020,Western,Elgin-Middlesex Det. Centre,,1,
7/5/2020,Northern,Monteith Correctional Centre,,1,
7/5/2020,Central,Maplehurst Correctional Complex,1,5,3
7/5/2020,Central,Ontario Correctional Institute,,89,2
7/5/2020,Toronto,Toronto South Detention Centre,3,8,6
7/5/2020,Central,Milton-Vanier Centre For Women,,1,3
7/5/2020,Central,Hamilton Wentworth Det Centre,,1,
7/5/2020,Eastern,Central East Correctional Centre,,1,1
7/5/2020,Central,Niagara Detention Centre,,,1
7/5/2020,Western,Central North Correctional Centre,,1,
7/5/2020,Northern,Kenora Jail,,2,
7/5/2020,Western,Elgin-Middlesex Det. Centre,,1,
7/6/2020,Northern,Monteith Correctional Centre,,1,
7/6/2020,Central,Maplehurst Correctional Complex,1,5,3
7/6/2020,Central,Ontario Correctional Institute,,89,2
7/6/2020,Toronto,Toronto South Detention Centre,3,8,6
7/6/2020,Central,Milton-Vanier Centre For Women,,1,3
7/6/2020,Central,Hamilton Wentworth Det Centre,,1,
7/6/2020,Eastern,Central East Correctional Centre,,1,1
7/6/2020,Central,Niagara Detention Centre,,,1
7/6/2020,Western,Central North Correctional Centre,,1,
7/6/2020,Northern,Kenora Jail,,2,
7/6/2020,Western,Elgin-Middlesex Det. Centre,,1,
7/7/2020,Northern,Monteith Correctional Centre,,1,
7/7/2020,Central,Maplehurst Correctional Complex,1,5,3
7/7/2020,Central,Ontario Correctional Institute,,89,2
7/7/2020,Toronto,Toronto South Detention Centre,2,8,7
7/7/2020,Central,Milton-Vanier Centre For Women,,1,3
7/7/2020,Central,Hamilton Wentworth Det Centre,,1,
7/7/2020,Eastern,Central East Correctional Centre,,1,1
7/7/2020,Central,Niagara Detention Centre,,,1
7/7/2020,Western,Central North Correctional Centre,,1,
7/7/2020,Northern,Kenora Jail,,2,
7/7/2020,Western,Elgin-Middlesex Det. Centre,,1,
7/8/2020,Northern,Monteith Correctional Centre,,1,
7/8/2020,Central,Maplehurst Correctional Complex,1,5,3
7/8/2020,Central,Ontario Correctional Institute,,89,2
7/8/2020,Toronto,Toronto South Detention Centre,2,8,7
7/8/2020,Central,Milton-Vanier Centre For Women,,1,3
7/8/2020,Central,Hamilton Wentworth Det Centre,,1,
7/8/2020,Eastern,Central East Correctional Centre,,1,1
7/8/2020,Central,Niagara Detention Centre,,,1
7/8/2020,Western,Central North Correctional Centre,,1,
7/8/2020,Northern,Kenora Jail,,2,
7/8/2020,Western,Elgin-Middlesex Det. Centre,,1,
7/9/2020,Northern,Monteith Correctional Centre,,1,
7/9/2020,Central,Maplehurst Correctional Complex,1,5,3
7/9/2020,Central,Ontario Correctional Institute,,89,2
7/9/2020,Toronto,Toronto South Detention Centre,3,8,7
7/9/2020,Central,Milton-Vanier Centre For Women,,1,3
7/9/2020,Central,Hamilton Wentworth Det Centre,,1,
7/9/2020,Eastern,Central East Correctional Centre,,1,1
7/9/2020,Central,Niagara Detention Centre,,,1
7/9/2020,Western,Central North Correctional Centre,,1,
7/9/2020,Northern,Kenora Jail,,2,
7/9/2020,Western,Elgin-Middlesex Det. Centre,,1,
7/12/2020,Northern,Monteith Correctional Centre,,1,
7/12/2020,Central,Maplehurst Correctional Complex,1,5,3
7/12/2020,Central,Ontario Correctional Institute,,89,2
7/12/2020,Toronto,Toronto South Detention Centre,2,9,7
7/12/2020,Central,Milton-Vanier Centre For Women,,1,3
7/12/2020,Central,Hamilton Wentworth Det Centre,,1,
7/12/2020,Eastern,Central East Correctional Centre,,1,1
7/12/2020,Central,Niagara Detention Centre,,,1
7/12/2020,Western,Central North Correctional Centre,,1,
7/12/2020,Northern,Kenora Jail,,2,
7/12/2020,Western,Elgin-Middlesex Det. Centre,,1,
7/13/2020,Northern,Monteith Correctional Centre,,1,
7/13/2020,Central,Maplehurst Correctional Complex,1,5,3
