Timestamp,Site,Cyclists-Northbound,Cyclists-Southbound,Cyclists-Eastbound,Cyclists-Westbound,Cyclists-Total,Pedestrians-Northbound,Pedestrians-Southbound,Pedestrians-Eastbound,Pedestrians-Westbound,Pedestrians-Total,All-Northbound,All-Southbound,All-Eastbound,All-Westbound,All-Total,Location
05/01/2020 01:30:00 AM,B - Lyndale & S of Highfield,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.135257 49.875265)
05/14/2020 07:15:00 PM,B - Assiniboine & E of Rouge,,,1,0,1,,,4,5,9,,,5,5,10,POINT (-97.3003 49.8657)
05/12/2020 07:00:00 PM,B - Churchill & E of Eccles S,,,14,4,18,,,19,14,33,,,33,18,51,POINT (-97.116 49.8636)
05/12/2020 09:00:00 PM,B - Kilkenny & N of Prestwood,3,0,,,3,2,1,,,3,5,1,,,6,POINT (-97.1367 49.7926)
05/14/2020 10:45:00 PM,B - Egerton & N of Clonard,6,0,,,6,0,0,,,0,6,0,,,6,POINT (-97.1 49.8666)
05/06/2020 12:45:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.177 49.8796)
05/12/2020 04:15:00 PM,B - Churchill & E of Eccles S,,,7,6,13,,,13,13,26,,,20,19,39,POINT (-97.116 49.8636)
05/12/2020 07:00:00 PM,A - Churchill & E of Cockburn S,,,4,4,8,,,3,4,7,,,7,8,15,POINT (-97.13960000000002 49.8558)
04/30/2020 01:45:00 PM,B - Lyndale & S of Highfield,1,2,,,3,6,5,,,11,7,7,,,14,POINT (-97.135257 49.875265)
05/06/2020 06:45:00 AM,B - Wolseley & E of Garfield,,,2,5,7,,,1,6,7,,,3,11,14,POINT (-97.177 49.8796)
05/15/2020 05:00:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/06/2020 03:30:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.177 49.8796)
04/30/2020 07:00:00 PM,A - Lyndale & S of Cromwell,9,5,,,14,10,13,,,23,19,18,,,37,POINT (-97.130648 49.88053200000001)
05/05/2020 11:00:00 PM,B - Scotia & N of Seven Oaks,1,0,,,1,2,1,,,3,3,1,,,4,POINT (-97.1135 49.9313)
05/15/2020 03:30:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/05/2020 05:30:00 PM,B - Scotia & N of Seven Oaks,12,11,,,23,4,4,,,8,16,15,,,31,POINT (-97.1135 49.9313)
05/05/2020 08:00:00 PM,B - Wolseley & E of Garfield,,,15,15,30,,,27,17,44,,,42,32,74,POINT (-97.177 49.8796)
